,Gender,Age,Relationship status,Highest Educational Qualification,Field of Education,Years of working experience,Years within current field of employment,Employee code/number,Job type,Job Location,Seniority Level,Salary,avg Hours worked per week,Value of benefits/allowance provided,Performance Rating,Training/upskilling opportunities provided,Unpaid Overtime hours per week,Employee department,Years in current role,Years with current supervisor,Years since last promotion,number of employee in company,last salary adjustment percentage,average Travel on work percentage,Work-Life balance,employer Recognition/award,Job satisfaction,Company satisfaction,Label
49,Male,31,Single,Doctorate,Medical,1,1,95,Fixed-term,Remote,Senior,2501,59,8170,4,neutral,5,Technical,1,0,1,6069,8.36,16,neutral,neutral,disagree,agree,0
50,Male,51,Married,Post-graduate,Life Sciences,1,1,353,Fixed-term,Remote,Junior,2723,54,3500,3,agree,6,Management,0,0,0,9365,9.74,35,disagree,strongly disagree,strongly agree,neutral,0
51,Female,36,Divorced,Post-graduate,Technical Degree,17,7,1237,Permanent,On-Site,Mid,10252,52,10208,4,neutral,7,Finance,7,7,7,4913,9.76,20,neutral,disagree,strongly disagree,strongly agree,0
52,Male,39,Married,School,Medical,9,7,2062,Fixed-term,Remote,Mid,9991,45,5001,5,agree,1,Technical,7,7,1,3669,0.65,7,neutral,strongly disagree,strongly disagree,agree,0
53,Male,32,Married,Doctorate,Life Sciences,10,10,772,Contract,On-Site,Executive,5309,41,6654,5,disagree,0,HR,8,7,4,5554,8.22,4,neutral,neutral,strongly agree,strongly agree,0
54,Female,27,Married,Post-graduate,Medical,5,3,1647,Contract,Remote,Senior,3517,46,9862,4,strongly agree,8,Management,2,2,0,3250,6.46,25,neutral,disagree,neutral,strongly agree,0
55,Male,39,Single,Post-graduate,Life Sciences,21,6,2022,Fixed-term,Hybrid,Mid,19431,45,7750,1,agree,0,Management,0,3,1,9897,6.47,15,disagree,strongly agree,agree,agree,0
56,Male,34,Single,Doctorate,Medical,1,1,1577,Contract,Hybrid,Junior,2972,41,9692,1,strongly disagree,9,Technical,0,0,0,6514,1.28,35,strongly disagree,agree,agree,strongly agree,0
57,Female,34,Single,Undergraduate,Medical,9,3,247,Casual/adhoc,On-Site,Junior,2311,37,10607,1,neutral,2,Management,2,2,1,4757,6.5,27,neutral,strongly agree,disagree,agree,0
58,Female,43,Married,Post-graduate,Marketing,22,17,327,Casual/adhoc,Hybrid,Mid,16064,49,4580,4,disagree,0,Operations,13,9,1,7047,9.82,28,neutral,strongly agree,agree,strongly agree,0
59,Male,31,Married,Doctorate,Life Sciences,6,5,1721,Casual/adhoc,Hybrid,Senior,3477,32,9304,1,strongly disagree,6,Management,2,3,0,8043,9.12,46,strongly agree,agree,neutral,agree,0
60,Male,31,Married,Doctorate,Life Sciences,12,7,163,Permanent,Remote,Junior,6172,45,5723,3,disagree,19,Technical,7,7,7,3762,4.39,11,disagree,agree,neutral,neutral,1
61,Female,38,Single,Doctorate,Life Sciences,10,9,724,Casual/adhoc,On-Site,Executive,7625,59,6748,5,strongly agree,7,Finance,7,8,1,4582,0.4,36,disagree,agree,agree,agree,0
62,Female,36,Single,5,Medical,7,1,479,Casual/adhoc,Remote,Junior,6653,42,6907,3,neutral,7,Finance,0,0,0,4897,3.62,29,neutral,disagree,strongly agree,agree,0
63,Male,42,Married,Post-graduate,Medical,10,10,605,Permanent,Remote,Graduate/intern,7406,52,3673,1,neutral,2,HR,9,8,5,5168,8.26,22,disagree,strongly disagree,strongly disagree,agree,0
64,Male,43,Married,Undergraduate,Life Sciences,25,25,158,Casual/adhoc,Remote,Graduate/intern,16959,57,9062,3,strongly agree,0,Operations,12,12,4,5580,7.01,15,strongly agree,strongly disagree,strongly agree,agree,0
65,Male,36,Married,Doctorate,Medical,16,13,481,Casual/adhoc,Remote,Senior,9699,48,2430,1,neutral,3,Finance,9,12,1,8133,4.59,13,neutral,agree,strongly agree,agree,0
66,Male,51,Married,Doctorate,Life Sciences,18,10,1081,Permanent,Remote,Mid,2461,37,3905,4,agree,17,Operations,0,7,2,1083,0.55,9,strongly agree,strongly agree,neutral,strongly disagree,1
67,Male,51,Married,Post-graduate,Marketing,14,4,1391,Fixed-term,Remote,Senior,10596,51,4664,3,disagree,6,HR,2,2,3,5707,4.27,6,neutral,neutral,disagree,agree,0
68,Male,33,Divorced,Post-graduate,Life Sciences,15,13,692,Fixed-term,Remote,Senior,7725,34,10281,4,strongly disagree,8,Operations,11,7,4,8643,4.69,44,strongly disagree,agree,strongly agree,agree,0
69,Female,25,Married,Post-graduate,Human Resources,6,2,1987,Casual/adhoc,On-Site,Senior,2187,49,8292,4,strongly agree,5,HR,0,2,1,9571,9.29,36,neutral,strongly agree,disagree,strongly agree,0
70,Male,33,Single,Post-graduate,Marketing,9,7,446,Contract,Hybrid,Senior,4682,37,9517,2,agree,4,Technical,7,1,0,2007,6.41,28,disagree,strongly agree,strongly agree,strongly agree,0
71,Male,42,Married,Post-graduate,Medical,10,0,1803,Permanent,Remote,Executive,5538,53,5874,1,strongly disagree,3,Operations,0,0,0,7024,3.12,2,disagree,disagree,strongly disagree,strongly agree,0
72,Female,20,Single,Post-graduate,Medical,2,2,1657,Contract,Remote,Executive,2783,41,4833,5,strongly disagree,8,Finance,2,2,2,9316,5.25,14,neutral,disagree,neutral,agree,0
73,Male,42,Divorced,School,Technical Degree,4,3,470,Contract,Remote,Junior,2696,30,3972,1,strongly agree,0,HR,2,0,1,8837,0.66,35,neutral,strongly disagree,neutral,neutral,0
74,Male,41,Divorced,Post-graduate,Life Sciences,14,5,2037,Casual/adhoc,Remote,Graduate/intern,8938,54,9682,5,agree,0,Management,4,4,0,4274,9.73,46,neutral,strongly disagree,disagree,agree,0
75,Male,27,Divorced,School,Technical Degree,9,9,844,Contract,Remote,Senior,12808,59,8825,1,strongly disagree,12,Finance,8,8,0,9180,3.6,45,neutral,neutral,strongly agree,agree,0
76,Male,30,Married,School,Life Sciences,10,10,104,Permanent,Remote,Junior,5126,50,8896,4,strongly disagree,0,Management,8,0,3,7365,4.78,18,disagree,neutral,strongly agree,strongly agree,0
77,Male,30,Divorced,Doctorate,Life Sciences,10,5,861,Permanent,Hybrid,Graduate/intern,3761,49,8082,3,agree,7,Finance,4,3,0,9397,3.55,12,disagree,neutral,strongly agree,agree,0
78,Male,37,Single,Undergraduate,Other,7,0,4,Casual/adhoc,Hybrid,Mid,2090,35,0,3,neutral,20,Technical,0,0,0,2090,6.83,41,neutral,neutral,neutral,disagree,1
79,Male,24,Divorced,Undergraduate,Technical Degree,2,1,1551,Permanent,Remote,Executive,2296,51,6916,2,strongly disagree,0,Management,1,0,0,5696,6.62,20,neutral,strongly agree,strongly disagree,agree,0
80,Male,38,Married,Post-graduate,Technical Degree,9,7,273,Contract,Hybrid,Graduate/intern,6261,47,8240,5,disagree,0,Finance,7,7,1,4098,7.15,36,strongly disagree,strongly agree,agree,strongly agree,0
81,Male,56,Single,Doctorate,Life Sciences,36,7,1338,Permanent,On-Site,Mid,19717,37,5786,5,agree,10,Finance,3,7,7,3875,2.68,26,neutral,strongly disagree,disagree,strongly disagree,0
82,Female,32,Married,Post-graduate,Life Sciences,14,14,830,Contract,Remote,Graduate/intern,6162,36,6814,5,strongly disagree,1,Operations,13,8,6,9212,3.16,28,neutral,disagree,neutral,strongly agree,0
83,Male,30,Married,School,Technical Degree,1,1,508,Casual/adhoc,On-Site,Executive,2476,30,13586,4,strongly agree,1,Operations,0,0,0,4745,1.25,19,neutral,disagree,disagree,strongly agree,0
84,Female,38,Single,Undergraduate,Life Sciences,2,2,245,Permanent,On-Site,Executive,2288,50,7577,5,disagree,2,Management,2,1,2,2161,6.56,24,neutral,agree,strongly agree,strongly agree,0
85,Male,25,Married,School,Life Sciences,6,3,1399,Fixed-term,Remote,Junior,6232,45,3556,3,strongly disagree,1,Management,2,2,1,4587,0.4,5,disagree,strongly agree,neutral,strongly disagree,0
86,Male,39,Married,Post-graduate,Life Sciences,9,9,1737,Permanent,Hybrid,Senior,6472,41,6682,4,disagree,7,Operations,8,8,5,4535,5.98,35,neutral,neutral,strongly agree,neutral,0
87,Female,59,Single,Post-graduate,Life Sciences,28,21,81,Contract,On-Site,Graduate/intern,7637,35,5384,1,disagree,0,Technical,16,9,7,2744,8.7,1,disagree,neutral,strongly disagree,strongly agree,0
88,Male,30,Divorced,Undergraduate,Other,10,8,982,Casual/adhoc,Remote,Graduate/intern,7264,49,7818,5,neutral,0,Management,4,7,7,1145,8.91,21,strongly agree,agree,neutral,strongly disagree,0
89,Female,56,Married,Post-graduate,Life Sciences,36,7,532,Contract,On-Site,Mid,13212,31,5721,5,disagree,9,Operations,7,7,7,8051,4.49,31,disagree,disagree,strongly disagree,disagree,0
90,Male,28,Single,Doctorate,Medical,4,4,916,Contract,On-Site,Executive,4908,58,7076,1,neutral,0,Management,2,2,0,6549,4.59,15,neutral,neutral,agree,neutral,0
91,Male,38,Married,Doctorate,Life Sciences,10,8,1997,Permanent,On-Site,Graduate/intern,5321,43,6020,5,agree,1,Management,3,7,7,2781,0.77,17,neutral,disagree,neutral,agree,0
92,Male,28,Single,Doctorate,Life Sciences,7,7,498,Casual/adhoc,On-Site,Executive,5253,33,7894,1,neutral,8,HR,5,7,0,3299,6.71,4,neutral,agree,strongly agree,agree,0
93,Male,19,Single,Post-graduate,Life Sciences,1,1,243,Contract,Hybrid,Graduate/intern,1102,30,0,4,strongly agree,16,Operations,0,0,1,6868,8.21,35,disagree,disagree,agree,strongly disagree,1
94,Female,34,Single,Doctorate,Life Sciences,13,12,28,Permanent,On-Site,Junior,11994,52,8213,3,strongly disagree,9,Finance,6,11,2,9230,2.45,29,neutral,disagree,disagree,neutral,0
95,Male,51,Married,Doctorate,Medical,10,1,211,Casual/adhoc,On-Site,Senior,6132,47,11397,1,agree,8,HR,0,0,0,7540,4.21,44,neutral,disagree,neutral,agree,0
96,Male,32,Married,Post-graduate,Life Sciences,10,5,1720,Fixed-term,On-Site,Graduate/intern,3433,42,5191,2,agree,3,Operations,2,3,1,8733,8.39,18,disagree,neutral,neutral,agree,0
97,Female,35,Married,Doctorate,Life Sciences,4,4,2052,Casual/adhoc,Hybrid,Executive,2977,31,8947,1,strongly agree,9,HR,3,1,1,2650,8.77,22,neutral,strongly disagree,agree,neutral,0
98,Female,59,Married,Doctorate,Human Resources,30,3,140,Permanent,On-Site,Junior,18844,38,2594,5,neutral,5,Management,2,2,2,4325,2.43,33,neutral,strongly agree,strongly agree,agree,0
99,Female,30,Single,Post-graduate,Medical,9,7,1816,Contract,On-Site,Graduate/intern,9667,50,7034,4,strongly disagree,2,Technical,7,2,0,696,5.51,12,neutral,disagree,neutral,strongly agree,0
100,Female,29,Divorced,Post-graduate,Technical Degree,1,1,1762,Permanent,Hybrid,Mid,2109,31,7957,4,neutral,6,Finance,0,0,0,6154,1.92,42,neutral,disagree,strongly disagree,strongly agree,0
101,Female,52,Married,Undergraduate,Life Sciences,31,5,546,Fixed-term,Hybrid,Senior,16555,56,6003,1,disagree,0,Operations,2,4,1,1605,1.02,28,strongly disagree,disagree,agree,strongly agree,0
102,Male,36,Single,Undergraduate,Medical,13,8,238,Contract,Hybrid,Graduate/intern,2088,54,3925,3,neutral,8,Management,7,2,7,9153,9.11,35,disagree,strongly disagree,disagree,strongly agree,0
103,Male,29,Married,Undergraduate,Other,10,4,2053,Casual/adhoc,On-Site,Junior,4025,38,7423,2,agree,7,Management,3,3,0,6568,8.21,21,neutral,agree,disagree,agree,0
104,Male,35,Married,5,Life Sciences,16,16,1621,Fixed-term,Hybrid,Mid,5208,30,10564,4,strongly disagree,5,Management,15,10,1,7336,7.6,46,neutral,neutral,strongly disagree,strongly agree,0
105,Male,25,Single,School,Life Sciences,1,1,1273,Permanent,Hybrid,Junior,1118,40,4093,5,neutral,15,HR,0,0,1,1651,0.49,35,neutral,strongly disagree,strongly agree,strongly disagree,1
106,Female,54,Divorced,Doctorate,Medical,9,5,799,Contract,On-Site,Junior,5485,32,8617,5,strongly disagree,9,Management,3,4,1,6952,8.44,8,neutral,disagree,strongly disagree,strongly agree,0
107,Male,32,Married,Post-graduate,Life Sciences,13,13,420,Casual/adhoc,Hybrid,Mid,5484,49,9753,3,strongly disagree,6,Operations,8,8,4,1549,4.38,38,disagree,strongly disagree,neutral,agree,0
108,Male,52,Single,Doctorate,Life Sciences,33,33,329,Fixed-term,On-Site,Junior,19068,59,12442,4,disagree,4,Finance,7,12,15,6053,3.42,50,strongly agree,strongly disagree,neutral,strongly agree,0
109,Male,31,Divorced,School,Life Sciences,13,13,581,Casual/adhoc,Remote,Mid,10648,52,5395,1,disagree,4,Technical,8,8,0,8556,5.46,18,strongly agree,strongly disagree,disagree,agree,0
110,Female,19,Single,Post-graduate,Medical,1,1,1248,Contract,Hybrid,Graduate/intern,1859,55,1797,5,agree,15,Operations,1,0,0,8142,0.91,37,strongly agree,agree,disagree,agree,1
111,Female,35,Married,Doctorate,Life Sciences,3,3,805,Casual/adhoc,Remote,Mid,2572,33,6915,3,strongly agree,3,HR,2,2,0,2759,7.57,5,disagree,strongly agree,agree,strongly agree,0
112,Female,27,Married,Post-graduate,Life Sciences,8,7,1870,Fixed-term,On-Site,Mid,4774,47,8730,4,strongly disagree,8,Technical,6,3,7,7609,5.82,46,disagree,neutral,strongly disagree,strongly disagree,0
113,Male,26,Single,Post-graduate,Technical Degree,1,1,622,Fixed-term,Hybrid,Senior,2340,52,2049,4,strongly agree,9,HR,0,0,0,7993,1.87,14,strongly disagree,agree,strongly agree,strongly agree,1
114,Male,28,Divorced,Undergraduate,Life Sciences,4,4,1102,Fixed-term,On-Site,Mid,2207,35,8807,4,agree,3,Management,2,2,2,7545,1.88,19,disagree,agree,neutral,strongly disagree,0
115,Male,56,Single,Undergraduate,Life Sciences,5,4,1907,Contract,Remote,Mid,2587,32,4949,4,strongly disagree,16,Management,2,0,1,2821,1.84,8,neutral,strongly agree,agree,neutral,1
116,Male,47,Married,Doctorate,Technical Degree,16,8,1934,Fixed-term,On-Site,Graduate/intern,5467,51,6432,4,strongly disagree,4,Operations,7,7,1,9754,0.57,31,agree,agree,disagree,disagree,0
117,Male,40,Single,Doctorate,Marketing,9,5,1318,Permanent,Hybrid,Senior,9094,40,4809,5,strongly agree,14,Technical,4,0,1,9737,5.88,3,neutral,strongly disagree,disagree,strongly disagree,1
118,Female,31,Divorced,Post-graduate,Medical,4,2,1916,Contract,Hybrid,Executive,3978,44,9279,3,neutral,4,Management,2,2,2,3025,8.4,49,disagree,strongly disagree,neutral,agree,0
119,Male,23,Married,Post-graduate,Life Sciences,1,0,811,Casual/adhoc,Remote,Graduate/intern,1601,51,6193,4,disagree,20,Finance,0,0,0,9924,0.17,17,neutral,disagree,strongly disagree,strongly disagree,1
120,Male,33,Married,Post-graduate,Human Resources,5,5,1207,Permanent,On-Site,Graduate/intern,3600,57,7529,2,neutral,1,Finance,4,4,1,7204,0.49,4,neutral,agree,neutral,agree,0
121,Female,27,Single,Undergraduate,Medical,9,8,1898,Contract,Hybrid,Executive,6500,34,8152,2,strongly agree,4,Management,7,7,0,6340,5.73,19,disagree,disagree,neutral,strongly agree,0
122,Male,43,Married,Post-graduate,Medical,10,10,1706,Permanent,Remote,Mid,7847,49,8076,3,disagree,12,Operations,9,8,8,612,8.19,22,neutral,neutral,agree,strongly agree,0
123,Female,35,Married,Doctorate,Life Sciences,6,5,1554,Fixed-term,Hybrid,Junior,2430,39,9962,1,neutral,4,HR,3,2,4,315,3.27,10,neutral,strongly disagree,neutral,strongly agree,0
124,Male,40,Married,Doctorate,Life Sciences,20,18,729,Casual/adhoc,Hybrid,Senior,10475,41,8262,1,disagree,1,Technical,13,12,1,7399,3.5,36,neutral,neutral,strongly disagree,strongly agree,0
125,Male,36,Single,Doctorate,Life Sciences,18,11,1133,Permanent,On-Site,Junior,7779,44,8790,1,strongly disagree,0,HR,9,9,0,3253,5.96,21,neutral,strongly agree,agree,strongly agree,0
126,Female,30,Single,Undergraduate,Medical,12,12,57,Permanent,Hybrid,Executive,4011,46,9285,2,neutral,0,Operations,8,7,3,7550,2.74,3,neutral,strongly disagree,strongly agree,strongly agree,0
127,Male,55,Married,Doctorate,Technical Degree,19,5,1873,Permanent,On-Site,Graduate/intern,2662,39,11417,1,disagree,11,Technical,2,4,0,1806,0.27,28,agree,neutral,agree,strongly agree,0
128,Male,35,Married,5,Marketing,10,10,204,Permanent,Hybrid,Graduate/intern,7295,35,6328,5,disagree,9,Operations,8,6,0,1667,7.35,43,neutral,strongly agree,disagree,neutral,0
129,Male,29,Married,School,Medical,10,10,1150,Permanent,Remote,Senior,5056,47,10751,4,disagree,0,Technical,7,2,1,1228,6.26,33,disagree,neutral,agree,strongly agree,0
130,Female,39,Single,Post-graduate,Life Sciences,11,1,1458,Fixed-term,Hybrid,Graduate/intern,3646,42,0,2,neutral,17,Technical,0,0,0,3610,5.81,12,strongly agree,strongly agree,strongly disagree,strongly disagree,1
131,Female,18,Single,Post-graduate,Medical,0,0,411,Permanent,On-Site,Graduate/intern,1200,32,6455,3,agree,9,Operations,0,0,0,7967,7.42,41,neutral,strongly agree,neutral,strongly agree,0
132,Male,30,Single,Undergraduate,Medical,10,10,41,Casual/adhoc,On-Site,Senior,2206,59,7066,3,neutral,4,Finance,0,8,1,2465,6.75,8,neutral,strongly disagree,neutral,strongly agree,0
133,Male,43,Divorced,Post-graduate,Life Sciences,25,25,520,Fixed-term,Remote,Senior,14336,53,6643,4,strongly agree,3,Finance,10,9,3,5683,2.06,41,neutral,disagree,disagree,strongly agree,0
134,Male,40,Divorced,Doctorate,Life Sciences,22,19,1892,Contract,Hybrid,Executive,16823,39,8813,2,neutral,13,Operations,7,16,11,4997,3.52,30,neutral,strongly agree,strongly disagree,strongly agree,0
